region_country,category,parameter,mode,powertrain,year,unit,value,Aggregate group
United Kingdom,Future,EV sales,Cars,BEV,2025,Vehicles,462000,aggregate_sales_stock
United Kingdom,Future,EV sales,Cars,BEV,2026,Vehicles,570000,aggregate_sales_stock
United Kingdom,Future,EV sales,Cars,BEV,2027,Vehicles,705000,aggregate_sales_stock
United Kingdom,Future,EV sales,Cars,BEV,2028,Vehicles,873000,aggregate_sales_stock
United Kingdom,Future,EV sales,Cars,BEV,2029,Vehicles,1081000,aggregate_sales_stock
United Kingdom,Future,EV sales,Cars,BEV,2030,Vehicles,1337000,aggregate_sales_stock
United Kingdom,Future,EV sales,Cars,BEV,2031,Vehicles,1655000,aggregate_sales_stock
United Kingdom,Future,EV sales,Cars,BEV,2032,Vehicles,2049000,aggregate_sales_stock
United Kingdom,Future,EV sales,Cars,BEV,2033,Vehicles,2536000,aggregate_sales_stock
United Kingdom,Future,EV sales,Cars,BEV,2034,Vehicles,3138000,aggregate_sales_stock
United Kingdom,Future,EV sales,Cars,BEV,2035,Vehicles,3884000,aggregate_sales_stock
